#Total cluster, Fake cluster, Percentage fake, Real roads, Extracted roads, Exceeded roads, Found roads, Percentage success, Percentage accumulator density
2720,2448,0.9,17,9826,9809,294,0.94,0.56
288,0,0,18,17,-1,14,0.78,0.03
320,32,0.1,18,17,-1,14,0.78,0.03
360,72,0.2,18,17,-1,14,0.78,0.05
411,123,0.3,18,17,-1,14,0.78,0.06
480,192,0.4,18,17,-1,14,0.78,0.09
576,288,0.5,18,18,0,16,0.78,0.13
719,431,0.6,18,21,3,17,0.78,0.19
959,671,0.7,18,57,39,18,0.83,0.27
1440,1152,0.8,18,646,628,27,0.83,0.39
2880,2592,0.9,18,13904,13886,426,0.83,0.58
304,0,0,19,22,3,18,0.95,0.03
337,33,0.1,19,22,3,18,0.95,0.03
380,76,0.2,19,22,3,18,0.95,0.04
434,130,0.3,19,22,3,18,0.95,0.06
506,202,0.4,19,22,3,18,0.95,0.10
608,304,0.5,19,23,4,18,0.95,0.14
760,456,0.6,19,25,6,18,0.95,0.20
1013,709,0.7,19,75,56,19,0.95,0.28
1520,1216,0.8,19,818,799,31,0.95,0.40
3040,2736,0.9,19,17054,17035,540,1.00,0.60
320,0,0,20,24,4,19,0.95,0.03
355,35,0.1,20,24,4,19,0.95,0.03
400,80,0.2,20,24,4,19,0.95,0.05
457,137,0.3,20,24,4,19,0.95,0.07
533,213,0.4,20,24,4,19,0.95,0.10
640,320,0.5,20,26,6,19,0.95,0.14
800,480,0.6,20,28,8,19,0.95,0.20
1066,746,0.7,20,89,69,20,0.95,0.29
1600,1280,0.8,20,1053,1033,32,0.95,0.42
3200,2880,0.9,20,18385,18365,604,0.95,0.61
336,0,0,21,24,3,17,0.81,0.03
373,37,0.1,21,24,3,17,0.81,0.04
420,84,0.2,21,26,5,17,0.81,0.05
480,144,0.3,21,26,5,17,0.81,0.07
560,224,0.4,21,27,6,18,0.86,0.11
672,336,0.5,21,28,7,18,0.86,0.15
839,503,0.6,21,37,16,18,0.86,0.22
1119,783,0.7,21,150,129,20,0.86,0.30
1680,1344,0.8,21,1464,1443,44,0.86,0.43
3360,3024,0.9,21,25110,25089,887,0.90,0.63
352,0,0,22,27,5,21,0.95,0.04
391,39,0.1,22,27,5,21,0.95,0.05
440,88,0.2,22,27,5,21,0.95,0.06
502,150,0.3,22,28,6,22,1.00,0.08
586,234,0.4,22,29,7,22,1.00,0.11
704,352,0.5,22,31,9,22,1.00,0.16
879,527,0.6,22,41,19,23,1.00,0.23
1173,821,0.7,22,162,140,24,1.00,0.32
1760,1408,0.8,22,1982,1960,65,1.00,0.45
3520,3168,0.9,22,31794,31772,1095,1.00,0.65
368,0,0,23,23,0,19,0.83,0.04
408,40,0.1,23,23,0,19,0.83,0.04
460,92,0.2,23,23,0,19,0.83,0.06
525,157,0.3,23,23,0,19,0.83,0.08
613,245,0.4,23,23,0,19,0.83,0.11
736,368,0.5,23,24,1,19,0.83,0.17
919,551,0.6,23,40,17,20,0.87,0.23
1226,858,0.7,23,171,148,21,0.87,0.32
1840,1472,0.8,23,2026,2003,62,0.91,0.46
3680,3312,0.9,23,32463,32440,1158,0.96,0.66
384,0,0,24,28,4,23,0.96,0.04
426,42,0.1,24,28,4,23,0.96,0.04
480,96,0.2,24,28,4,23,0.96,0.06
548,164,0.3,24,28,4,23,0.96,0.08
640,256,0.4,24,31,7,23,0.96,0.12
768,384,0.5,24,36,12,23,0.96,0.17
959,575,0.6,24,50,26,23,0.96,0.25
1279,895,0.7,24,247,223,25,0.96,0.34
1920,1536,0.8,24,2902,2878,88,0.96,0.48
3840,3456,0.9,24,44830,44806,1623,1.00,0.68
400,0,0,25,24,-1,23,0.92,0.04
444,44,0.1,25,24,-1,23,0.92,0.05
500,100,0.2,25,24,-1,23,0.92,0.06
571,171,0.3,25,24,-1,23,0.92,0.09
666,266,0.4,25,26,1,23,0.92,0.12
800,400,0.5,25,26,1,23,0.92,0.18
1000,600,0.6,25,50,25,23,0.92,0.25
1333,933,0.7,25,273,248,26,0.92,0.35
2000,1600,0.8,25,3421,3396,99,0.92,0.49
4000,3600,0.9,25,49594,49569,1827,0.96,0.69
416,0,0,26,29,3,24,0.92,0.04
462,46,0.1,26,29,3,24,0.92,0.05
520,104,0.2,26,29,3,24,0.92,0.06
594,178,0.3,26,29,3,24,0.92,0.09
693,277,0.4,26,29,3,24,0.92,0.13
832,416,0.5,26,29,3,24,0.92,0.18
1040,624,0.6,26,57,31,24,0.92,0.26
1386,970,0.7,26,340,314,28,0.92,0.36
2080,1664,0.8,26,3937,3911,110,0.96,0.50
4160,3744,0.9,26,56636,56610,2160,1.00,0.70
432,0,0,27,31,4,26,0.96,0.04
480,48,0.1,27,31,4,26,0.96,0.05
540,108,0.2,27,31,4,26,0.96,0.07
617,185,0.3,27,31,4,26,0.96,0.09
720,288,0.4,27,32,5,26,0.96,0.13
864,432,0.5,27,35,8,26,0.96,0.19
1079,647,0.6,27,61,34,26,0.96,0.27
1439,1007,0.7,27,430,403,29,0.96,0.37
2160,1728,0.8,27,5419,5392,157,0.96,0.51
4320,3888,0.9,27,62572,62545,2333,1.00,0.71
448,0,0,28,31,3,25,0.89,0.04
497,49,0.1,28,31,3,25,0.89,0.05
560,112,0.2,28,31,3,25,0.89,0.07
640,192,0.3,28,32,4,25,0.89,0.09
746,298,0.4,28,34,6,25,0.89,0.14
896,448,0.5,28,40,12,26,0.93,0.20
1120,672,0.6,28,72,44,26,0.93,0.27
1493,1045,0.7,28,510,482,34,0.93,0.38
2240,1792,0.8,28,5663,5635,168,0.93,0.52
4480,4032,0.9,28,72660,72632,2762,1.00,0.72
464,0,0,29,27,-2,25,0.86,0.05
515,51,0.1,29,27,-2,25,0.86,0.05
580,116,0.2,29,28,-1,25,0.86,0.07
662,198,0.3,29,30,1,26,0.90,0.10
773,309,0.4,29,32,3,26,0.90,0.14
928,464,0.5,29,37,8,26,0.90,0.20
1159,695,0.6,29,83,54,28,0.90,0.28
1546,1082,0.7,29,655,626,33,0.93,0.39
2320,1856,0.8,29,6802,6773,193,0.97,0.53
4640,4176,0.9,29,78981,78952,2964,0.97,0.73
480,0,0,30,35,5,27,0.90,0.05
533,53,0.1,30,35,5,27,0.90,0.06
600,120,0.2,30,37,7,27,0.90,0.08
685,205,0.3,30,39,9,27,0.90,0.11
800,320,0.4,30,42,12,27,0.90,0.15
960,480,0.5,30,48,18,27,0.90,0.21
1200,720,0.6,30,114,84,28,0.90,0.29
1599,1119,0.7,30,761,731,35,0.90,0.40
